,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
10,GSN Solutions LLC (Pyx Tech Pvt Ltd),Data Scientist,Pune,"Company summary -
Pyx Tech, headquartered in Austin, Texas is a leading provider of technology-based solutions and services for global OEMs across key industries including High Tech, Retail, Supply Chain and After market services. Innovation starts with inclusion at Pyx Tech, where everyone's voice is heard, and diversity is valued. A chance not to be a spoke in the wheel, but an opportunity to help create new wheels of innovation. The ideal candidates are enthusiastic and motivated persons with a passion for creating lasting customer experiences and are able to respond quickly to multiple project needs. They will work closely with Customers, Product Managers, Operations and will design, develop, and implement solutions using the latest technology and tools. We believe in a learning culture where all team members have the opportunity to grow their skills and experiences. We are looking for the best candidates to help us create the future and make a difference.
Responsibilities
Gather and analyze data, using various types of analytics and reporting tools to detect patterns, trends, and relationships in data sets
Establish best practices for collecting data using analysis tools, and interpreting data
Process, cleanse, and verify the integrity of data used for analysis
Perform ad-hoc analysis and present results in a clear manner using appropriate medium
Process / mine huge volumes of structured, semi-structured and unstructured data using state of-the- art methods to derive meaningful insights in an appropriate format
Recommend tools, techniques, and practices across organization to enhance knowledge
Create complex predictive models using ML techniques and relevant tools.
Skillset Required / Mandatory
Excellent knowledge of Statistics, especially distributions, likelihood estimators, etc.
Hands on experience withone of these programming languages: Python / R
Extensive knowledge of Machine Learning concepts and techniques, along with knowledge of various algorithms and their use cases
Experience in using Business Intelligence (BI) tools like Tableau (or equivalent)
Hands onexperience in using SQL programming with Microsoft SQL Server / MySQL
Excellent documentation skills, including advanced use of Microsoft Excel, Word, and PowerPoint
Ability to work independently with minimum input or assistance
Ability to effectively communicate with all levels of audience – business and technical
Qualifications
* Bachelor's degree in Engineering or equivalent, Master’s degree will have additional
weightage
* Minimum 10+ years of experience working in enterprise projects / programs that
involve extensive dataprocessing andanalysis
* Data Scientist certification from reputed institution / university is desirable
If interested ,Please share your cv asap .
Regards
Preeti Sawant
Pyx Tech Pvt Ltd
Job Type: Full-time
Salary: ₹1,800,000.00 - ₹3,500,000.00 per year
Benefits:
Flexible schedule
Health insurance
Internet reimbursement
Leave encashment
Provident Fund
Work from home
Schedule:
Day shift
Monday to Friday
Experience:
total work: 10 years (Preferred)
Statistics: 10 years (Preferred)
Machine learning: 10 years (Preferred)
Python/R: 10 years (Preferred)
SQL programming: 10 years (Preferred)
Tableau: 10 years (Preferred)
Business Intelligence: 10 years (Preferred)
Speak with the employer
+91 9284564155
Show Less
Report","₹26,50,000 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
11,Oracuz Infotech Pvt Ltd,Data Science Internship,Thiruvananthapuram,"We are providing six months training for Data Science. After the traning we will hire the candidates based on performance wise.
After the training we will provide experience certificates aslo
We are not looking for experienced or trained candidates. We are looking for freshers candidates only.
Both Male and Female candidates can apply.
Job Types: Part-time, Fresher, Internship
Salary: ₹8,000.00 - ₹45,000.00 per month
Benefits:
Internet reimbursement
Schedule:
Monday to Friday
Morning shift
Supplemental pay types:
Performance bonus
Education:
Bachelor's (Preferred)
Work Location: One location
Speak with the employer
+91 9747581751
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12,edyst,Data Science Internship,Hyderābād,"Data Science Internship is the best way to enhance your skill set and land your dream job. Join Aneeq Dholakia (Co-Founder Edyst) & 100+ students for our upcoming live session on Data Science Internship.
To kow more visit : https://edyst.com/internship-info/data-science-internship-real-estate-price-prediction
Job Type: Full-time
Salary: ₹8,086.00 - ₹23,097.05 per month
Schedule:
Morning shift
Supplemental pay types:
Performance bonus
Show Less
Report","₹15,592 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,"SRM Technologies
3.7",Data Scientist,Chennai,"Job Description
About SRM:

SRM Technologies, part of the SRM Group, was established in 1998 and provides Cloud and Infrastructure, Digital Transformation, Managed IT Services, Application Lifecycle, Quality Assurance, eCommerce and Product Engineering services. These are offered to the Education, Automotive, Manufacturing, Consumer, Transportation & Logistics, Supply Chain and Healthcare industries.

Our passionate employees exemplify our core belief of ‘ideas@work’. At the heart of it is the belief that ideas and the resulting innovation are useful only when they make a difference to our customer’s business and the lives of their end-customers. We believe in the practical application of these ideas and their transformative impact.

Role Description: Responsible for designing and building advanced analytical models, processes, and applications to support business needs.

Required Technical Skills

Have strong modeling and analytical skills and be able to work with large scale datasets.

Should be proficient in SQL and one of the programming languages for data analytics (Python, R, etc.) and Tableau

Previous experience in applying mathematical programming (LPs, MIPs) and/or machine learning (regression and classification) techniques to solve business problems.

Preferred Technical Skills

Familiarity with software development techniques and previous experience working with software engineers to productionalize models.

Prior experience within inventory and supply chain management or inventory optimization models within a retail company (safety stock analysis, inventory modeling etc.).

Qualifications:

Minimum Education: Master’s in Industrial Engineering, Operations Research, Operations Management, Business Analytics, Supply Chain Management or in a highly quantitative field.

Minimum three years of experience or proven record of working on data science related projects during graduate education.

City
Chennai
State/Province
Tamil Nadu
Country
India
Zip/Postal Code
600096
Show Less
Report","₹6,72,796 /yr (est.)",501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,1999,Unknown / Non-Applicable
14,"Mercedes-Benz Research and Development India Private Limited
4.2",Data Scientist,Bangalore,"Aufgaben
The role is that of an individual contributor who is capable of taking responsibility / owning the complete data science POC/ project lifecycle based on CRISP DM framework
Understand business objective and translate it to Data science objective
Lead client discussions and brainstorm for ideas to solve business problems
Identify data sources, perform EDA , data cleaning and transformations for ML / DL models
Build ML / DL models hands on
Evaluate ML models and generate appropriate metrics for validation
Create necessary documentation and provide KT for deployment team to create apis for ML application
Constantly learn the latest updates in the ML / DL space and implement solutions accordingly
Recommend best practices for deployment in terms of infrastructure / technology required etc.
Act as an AI evangelist to stress the importance of AI / Data science within the dept. / team
Qualifikationen
A self-starter with a proven track record of working independently in developing Data science solutions
Experience working in a good mix structured and unstructured (NLP/image) data science projects
Advanced working knowledge in Python and ML / DL frameworks like tensorflow / Pytorch / OpenCV
Good conceptual understanding of ML / DL algorithms
Good experience with version control tools – GIT
Basic knowledge of model deployment

Good to have :

Experience working with Azure cloud tech stack (databricks / ADLS etc.)
Experience building models in distributed computing (preferably pyspark)
Experience building AI models @ scale for auto / Manufacturing domain
Show Less
Report","₹6,38,749 /yr (est.)",10000+ Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable
15,"Lincode Labs
3.1",Data Science Intern,Bangalore,"Must have:
Very Good understanding of Computer Vision and Deep/Machine Learning with projects to back the same
Experience in any Deep learning Frameworks - Pytorch, Tensorflow.
Basic Image processing techniques.
Knowledge of basics: Linear Algebra, Probability and Statistics.
Strong programming experience in Python.
Good understanding of Algorithms and Data Structures.
Comfortable in working with Linux and software development with Git
Good written and verbal communication.
Bachelor’s degree in Computer Science or equivalent.
Problem Solver Capability.
Good level of Aptitude.
Good To have:
Optics basics
Basic knowledge on Automobile , Electrical, Electronics.
Experience in Django , FastAPI, Docker.
Job Type: Internship
Contract length: 6 months
Salary: ₹5,000.00 - ₹20,000.00 per month
Benefits:
Flexible schedule
Food provided
Schedule:
Day shift
Flexible shift
Monday to Friday
Ability to commute/relocate:
Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
Python: 1 year (Preferred)
OpenCV: 1 year (Preferred)
Willingness to travel:
50% (Preferred)
Speak with the employer
+91 9487953281
Show Less
Report","₹12,500 /mo (est.)",1 to 50 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2017,Less than $1 million (USD)
16,Bipin Jha Consultancy,Data Scientist,Bangalore,"Looking for:
Quick Learners
Prior knowledge of ReactJS is a must
Comfortable with ""Build fast and iterate""
Project members at Sugarfit don’t own code. They own features and technologies. This requires understanding of product and business requirements and owning end to end execution of app features
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements
Skills:
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
At least 3 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C,C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)
Job Type: Full-time
Salary: ₹2,500,000.00 - ₹3,500,000.00 per year
Benefits:
Provident Fund
Work from home
Schedule:
Day shift
Supplemental pay types:
Yearly bonus
Ability to commute/relocate:
Banglore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 2 years (Required)
Speak with the employer
+91 9588455196
Show Less
Report","₹30,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,Elvira technologies,Data science,Gurgaon,"Job Description
ProfileJob Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.Job Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.Job Description
Profile: Senior-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.-Level Data Engineer with 5+ years of experience (Geospatial expertise/experience is a plus)
Qualifications:
Base Technical Skills: Expertise with a programing language (Python preferred) mainly in Azure cloud computing environment.
Expertise in creating ETL pipelines, CI/CD and automation from various external public data sources
Expertise in managing large volumes of digital geo-information that can be stored, manipulated, visualized, analyzed, and shared.
Preferred Technical Skills: Expertise in geospatial libraries (e.g. Shapely, Fiona, Rasterio, GeoPandandas etc.)
Experience in Arcpy and integrating with cloud computing
Core focus involves application of managing geoinformation using Geographic Information System (GIS) tools Remote Sensing, big data acquisition and cloud computing.
Skills and Knowledge: Excellent oral and written communication skills
Education: Bachelor’s/Master’s degree with a major in engineering (major: image processing) data science, computer science or a related quantitative field.
Job Type: Full-time
Salary: ₹500,000.00 - ₹700,000.00 per year
Schedule:
Monday to Friday
COVID-19 considerations:
no
Experience:
5yrs: 1 year (Preferred)
Work Location: One location
Show Less
Report","₹6,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,Predictive Research,Machine Learning/ Data Engineer,Bangalore,"Only Fresher candidates Apply, we are not looking any experienced. BE/B tech ( Only Computer science) not any other branch, MCA M etch ME.
Only Apply if your Branch is Computer science, Information Technology, Computer Engineering. Don't apply if you already applied.
Job Type: Full-time
Salary: ₹240,000.00 - ₹320,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Show Less
Report","₹2,80,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,Hellowork Technologies Pvt Ltd,Data Scientist,New Delhi,"Experience : - At least 2 years' of experience in quantitative analytics or data modeling
Qualification : - Degree in Computer Programming, Computer Science, or a related field from a reputed institute
Location : - Delhi NCR
Role & Responsibilities:
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
To implement forecasting solutions using ML.
To work independently and in a team to research innovative solutions to challenging business problems.
Design accurate and scalable prediction algorithms
Organizing, managing, and leading multiple Data Science projects in a fast-paced IT environment
Planning and delivering within budget and on time and to customer satisfaction.
Planning and managing Product Updates & Improvement Roadmap
Tracking and reviewing team performance by regular reviews for all the areas and ensuring their adherence to the delivery schedule and the project's objectives.
Regular Review and Report
Technical Skills: Must Have
Expertise in Python and SQL a must
Experience in building statistical models and various regression techniques / predictive modeling techniques
Strong Statistical background
Experience in delivering analytics projects
Attention to detail and data accuracy
Very good Technical Documentation Skills
Excellent written & oral communication skills
Organizational skills
Good to Have
Familiarity with Technical Stacks: Cloud Architecture, Databases, Data Science Workflow, Software Development Life-Cycle, Testing Coverage
What’s in for you:
Extensive liaising with customers and partners
A rewarding career progression
Job Type: Full-time
Salary: ₹400,000.00 - ₹650,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:
Delhi: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data modeling: 2 years (Preferred)
Language:
English (Preferred)
Hindi (Preferred)
Work Location: One location
Speak with the employer
+91 8208108474
Show Less
Report","₹5,25,000 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
